"month1","day1","sunrise1","sunset1"
"01","01","07:14","16:23"
"01","02","07:14","16:24"
"01","03","07:14","16:25"
"01","04","07:14","16:26"
"01","05","07:14","16:26"
"01","06","07:14","16:27"
"01","07","07:14","16:28"
"01","08","07:14","16:30"
"01","09","07:13","16:31"
"01","10","07:13","16:32"
"01","11","07:13","16:33"
"01","12","07:13","16:34"
"01","13","07:12","16:35"
"01","14","07:12","16:36"
"01","15","07:11","16:37"
"01","16","07:11","16:38"
"01","17","07:10","16:40"
"01","18","07:10","16:41"
"01","19","07:09","16:42"
"01","20","07:09","16:43"
"01","21","07:08","16:45"
"01","22","07:07","16:46"
"01","23","07:07","16:47"
"01","24","07:06","16:48"
"01","25","07:05","16:50"
"01","26","07:04","16:51"
"01","27","07:03","16:52"
"01","28","07:02","16:53"
"01","29","07:01","16:55"
"01","30","07:00","16:56"
"01","31","06:59","16:57"
"02","01","06:58","16:59"
"02","01","05:28","18:10"
"02","02","06:57","17:00"
"02","02","05:26","18:12"
"02","03","05:24","18:13"
"02","03","06:56","17:01"
"02","04","05:22","18:14"
"02","04","06:55","17:03"
"02","05","05:21","18:15"
"02","05","06:54","17:04"
"02","06","06:53","17:05"
"02","06","05:19","18:16"
"02","07","05:17","18:17"
"02","07","06:52","17:07"
"02","08","05:16","18:18"
"02","08","06:51","17:08"
"02","09","06:49","17:09"
"02","09","05:14","18:19"
"02","10","06:48","17:10"
"02","10","05:12","18:21"
"02","11","05:11","18:22"
"02","11","06:47","17:12"
"02","12","05:09","18:23"
"02","12","06:45","17:13"
"02","13","05:07","18:24"
"02","13","06:44","17:14"
"02","14","05:06","18:25"
"02","14","06:43","17:16"
"02","15","06:41","17:17"
"02","15","05:04","18:26"
"02","16","05:02","18:27"
"02","16","06:40","17:18"
"02","17","05:01","18:28"
"02","17","06:39","17:19"
"02","18","06:37","17:21"
"02","18","04:59","18:30"
"02","19","06:36","17:22"
"02","19","04:58","18:31"
"02","20","04:56","18:32"
"02","20","06:34","17:23"
"02","21","04:55","18:33"
"02","21","06:33","17:25"
"02","22","04:53","18:34"
"02","22","06:31","17:26"
"02","23","06:30","17:27"
"02","23","04:52","18:35"
"02","24","04:50","18:36"
"02","24","06:28","17:28"
"02","25","04:49","18:37"
"02","25","06:27","17:30"
"02","26","06:25","17:31"
"02","26","04:47","18:39"
"02","27","06:24","17:32"
"02","27","04:46","18:40"
"02","28","04:44","18:41"
"02","28","06:22","17:33"
"02","29","04:43","18:42"
"02","30","04:42","18:43"
"04","01","06:20","17:34"
"04","02","06:19","17:36"
"04","03","06:17","17:37"
"04","04","06:15","17:38"
"04","05","06:14","17:39"
"04","06","06:12","17:40"
"04","07","06:11","17:42"
"04","08","06:09","17:43"
"04","09","06:07","17:44"
"04","10","06:05","17:45"
"04","11","06:04","17:46"
"04","12","06:02","17:48"
"04","13","06:00","17:49"
"04","14","05:59","17:50"
"04","15","05:57","17:51"
"04","16","05:55","17:52"
"04","17","05:54","17:53"
"04","18","05:52","17:55"
"04","19","05:50","17:56"
"04","20","05:48","17:57"
"04","21","05:47","17:58"
"04","22","05:45","17:59"
"04","23","05:43","18:00"
"04","24","05:41","18:01"
"04","25","05:40","18:03"
"04","26","05:38","18:04"
"04","27","05:36","18:05"
"04","28","05:34","18:06"
"04","29","05:33","18:07"
"04","30","05:31","18:08"
"04","31","05:29","18:09"
"05","01","04:40","18:44"
"05","02","04:39","18:45"
"05","03","04:38","18:46"
"05","04","04:36","18:48"
"05","05","04:35","18:49"
"05","06","04:34","18:50"
"05","07","04:32","18:51"
"05","08","04:31","18:52"
"05","09","04:30","18:53"
"05","10","04:29","18:54"
"05","11","04:28","18:55"
"05","12","04:27","18:56"
"05","13","04:26","18:57"
"05","14","04:24","18:58"
"05","15","04:23","18:59"
"05","16","04:22","19:00"
"05","17","04:21","19:01"
"05","18","04:21","19:02"
"05","19","04:20","19:03"
"05","20","04:19","19:04"
"05","21","04:18","19:05"
"05","22","04:17","19:06"
"05","23","04:16","19:07"
"05","24","04:15","19:08"
"05","25","04:15","19:09"
"05","26","04:14","19:10"
"05","27","04:13","19:11"
"05","28","04:13","19:12"
"05","29","04:12","19:13"
"05","30","04:12","19:13"
"05","31","04:11","19:14"
"06","01","04:11","19:15"
"06","02","04:10","19:16"
"06","03","04:10","19:16"
"06","04","04:09","19:17"
"06","05","04:09","19:18"
"06","06","04:09","19:18"
"06","07","04:08","19:19"
"06","08","04:08","19:20"
"06","09","04:08","19:20"
"06","10","04:08","19:21"
"06","11","04:07","19:21"
"06","12","04:07","19:22"
"06","13","04:07","19:22"
"06","14","04:07","19:23"
"06","15","04:07","19:23"
"06","16","04:07","19:24"
"06","17","04:07","19:24"
"06","18","04:07","19:24"
"06","19","04:08","19:25"
"06","20","04:08","19:25"
"06","21","04:08","19:25"
"06","22","04:08","19:25"
"06","23","04:08","19:25"
"06","24","04:09","19:26"
