"month1","day1","sunrise1","sunset1"
"01","01","07:14","16:23"
"01","02","07:14","16:24"
"01","03","07:14","16:25"
"01","04","07:14","16:26"
"01","05","07:14","16:27"
"01","06","07:14","16:28"
"01","07","07:14","16:29"
"01","08","07:14","16:30"
"01","09","07:13","16:31"
"01","10","07:13","16:32"
"01","11","07:13","16:33"
"01","12","07:13","16:34"
"01","13","07:12","16:35"
"01","14","07:12","16:36"
"01","15","07:11","16:38"
"01","16","07:11","16:39"
"01","17","07:10","16:40"
"01","18","07:10","16:41"
"01","19","07:09","16:42"
"01","20","07:08","16:44"
"01","21","07:08","16:45"
"01","22","07:07","16:46"
"01","23","07:06","16:47"
"01","24","07:06","16:49"
"01","25","07:05","16:50"
"01","26","07:04","16:51"
"01","27","07:03","16:53"
"01","28","07:02","16:54"
"01","29","07:01","16:55"
"01","30","07:00","16:56"
"01","31","06:59","16:58"
"02","01","06:58","16:59"
"02","02","06:57","17:00"
"02","03","06:56","17:02"
"02","04","06:55","17:03"
"02","05","06:54","17:04"
"02","06","06:53","17:06"
"02","07","06:51","17:07"
"02","08","06:50","17:08"
"02","09","06:49","17:09"
"02","10","06:48","17:11"
"02","11","06:46","17:12"
"02","12","06:45","17:13"
"02","13","06:44","17:15"
"02","14","06:42","17:16"
"02","15","06:41","17:17"
"02","16","06:40","17:19"
"02","17","06:38","17:20"
"02","18","06:37","17:21"
"02","19","06:35","17:22"
"02","20","06:34","17:24"
"02","21","06:32","17:25"
"02","22","06:31","17:26"
"02","23","06:29","17:27"
"02","24","06:28","17:29"
"02","25","06:26","17:30"
"02","26","06:25","17:31"
"02","27","06:23","17:32"
"02","28","06:22","17:34"
"03","01","06:20","17:35"
"03","02","06:18","17:36"
"03","03","06:17","17:37"
"03","04","06:15","17:38"
"03","05","06:13","17:40"
"03","06","06:12","17:41"
"03","07","06:10","17:42"
"03","08","06:08","17:43"
"03","09","06:07","17:44"
"03","10","06:05","17:46"
"03","11","06:03","17:47"
"03","12","06:02","17:48"
"03","13","06:00","17:49"
"03","14","05:58","17:50"
"03","15","05:57","17:51"
"03","16","05:55","17:53"
"03","17","05:53","17:54"
"03","18","05:51","17:55"
"03","19","05:50","17:56"
"03","20","05:48","17:57"
"03","21","05:46","17:58"
"03","22","05:44","17:59"
"03","23","05:43","18:01"
"03","24","05:41","18:02"
"03","25","05:39","18:03"
"03","26","05:37","18:04"
"03","27","05:36","18:05"
"03","28","05:34","18:06"
"03","29","05:32","18:07"
"03","30","05:31","18:08"
"03","31","05:29","18:10"
"04","01","05:27","18:11"
"04","02","05:25","18:12"
"04","03","05:24","18:13"
"04","04","05:22","18:14"
"04","05","05:20","18:15"
"04","06","05:19","18:16"
"04","07","05:17","18:17"
"04","08","05:15","18:19"
"04","09","05:14","18:20"
"04","10","05:12","18:21"
"04","11","05:10","18:22"
"04","12","05:09","18:23"
"04","13","05:07","18:24"
"04","14","05:05","18:25"
"04","15","05:04","18:26"
"04","16","05:02","18:28"
"04","17","05:01","18:29"
"04","18","04:59","18:30"
"04","19","04:57","18:31"
"04","20","04:56","18:32"
"04","21","04:54","18:33"
"04","22","04:53","18:34"
"04","23","04:51","18:35"
"04","24","04:50","18:37"
"04","25","04:48","18:38"
"04","26","04:47","18:39"
"04","27","04:45","18:40"
"04","28","04:44","18:41"
"04","29","04:43","18:42"
"04","30","04:41","18:43"
"05","01","04:40","18:44"
"05","02","04:39","18:46"
"05","03","04:37","18:47"
"05","04","04:36","18:48"
"05","05","04:35","18:49"
"05","06","04:33","18:50"
"05","07","04:32","18:51"
"05","08","04:31","18:52"
"05","09","04:30","18:53"
"05","10","04:29","18:54"
"05","11","04:27","18:55"
"05","12","04:26","18:56"
"05","13","04:25","18:57"
"05","14","04:24","18:59"
"05","15","04:23","19:00"
"05","16","04:22","19:01"
"05","17","04:21","19:02"
"05","18","04:20","19:03"
"05","19","04:19","19:04"
"05","20","04:18","19:05"
"05","21","04:18","19:05"
"05","22","04:17","19:06"
"05","23","04:16","19:07"
"05","24","04:15","19:08"
"05","25","04:15","19:09"
"05","26","04:14","19:10"
"05","27","04:13","19:11"
"05","28","04:13","19:12"
"05","29","04:12","19:13"
"05","30","04:11","19:13"
"05","31","04:11","19:14"
"06","01","04:10","19:15"
"06","02","04:10","19:16"
"06","03","04:10","19:17"
"06","04","04:09","19:17"
"06","05","04:09","19:18"
"06","06","04:08","19:19"
"06","07","04:08","19:19"
"06","08","04:08","19:20"
"06","09","04:08","19:20"
"06","10","04:08","19:21"
"06","11","04:07","19:22"
"06","12","04:07","19:22"
"06","13","04:07","19:22"
"06","14","04:07","19:23"
"06","15","04:07","19:23"
"06","16","04:07","19:24"
"06","17","04:07","19:24"
"06","18","04:07","19:24"
"06","19","04:08","19:25"
"06","20","04:08","19:25"
"06","21","04:08","19:25"
"06","22","04:08","19:25"
"06","23","04:08","19:25"
"06","24","04:09","19:26"
